Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 2]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: indentity
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-675.8186014959429;0.018;99.1
10;-676.5117486265029;0.044;97.8
15;-658.4899232319442;0.16;92.0
20;-670.9665715820233;0.058;97.1
25;-673.7391601042631;0.048;97.6
30;-675.8186014959429;0.018;99.1
35;-676.5117486265028;0.008;99.6
40;-675.125454365383;0.046;97.7
45;-675.818601495943;0.012;99.4
50;-665.4213945375437;0.084;95.8
55;-647.399569142985;0.17;91.5
60;-676.5117486265029;0.074;96.3
65;-658.4899232319442;0.16;92.0
70;-661.262511754184;0.132;93.4
75;-666.1145416681037;0.074;96.3
80;-675.1254543653829;0.094;95.3
85;-655.7173347097043;0.14;93.0
90;-673.7391601042631;0.054;97.3
95;-666.8076887986637;0.064;96.8
100;-677.8980428876228;0.018;99.1
105;-670.9665715820233;0.058;97.1
110;-657.7967761013842;0.164;91.8
115;-675.125454365383;0.052;97.39999999999999
120;-677.2048957570629;0.01;99.5
125;-677.8980428876229;0.078;96.1
130;-661.9556588847439;0.134;93.30000000000001
135;-658.4899232319442;0.154;92.30000000000001
140;-675.818601495943;0.072;96.39999999999999
145;-677.2048957570628;0.016;99.2
150;-658.4899232319442;0.16;92.0
155;-655.7173347097043;0.14;93.0
160;-660.569364623624;0.136;93.2
165;-666.1145416681037;0.08;96.0
170;-661.9556588847439;0.134;93.30000000000001
175;-669.5802773209034;0.06;97.0
180;-663.3419531458638;0.096;95.19999999999999
185;-675.818601495943;0.072;96.39999999999999
190;-677.8980428876229;0.078;96.1
195;-675.125454365383;0.052;97.39999999999999
200;-679.2843371487427;0.088;95.6
205;-678.5911900181827;0.08;96.0
210;-675.125454365383;0.01;99.5
215;-661.9556588847439;0.11;94.5
220;-666.1145416681037;0.074;96.3
225;-661.2625117541841;0.126;93.7
230;-653.6378933180245;0.182;90.9
235;-676.5117486265029;0.074;96.3
240;-677.2048957570629;0.01;99.5
245;-666.1145416681037;0.068;96.6
250;-650.8653047957848;0.15;92.5
255;-677.2048957570629;0.076;96.2
260;-666.1145416681037;0.074;96.3
265;-652.9447461874647;0.222;88.9
270;-670.9665715820233;0.058;97.1
275;-664.7282474069838;0.088;95.6
280;-670.9665715820233;0.052;97.39999999999999
285;-677.2048957570629;0.076;96.2
290;-677.8980428876228;0.018;99.1
295;-674.432307234823;0.02;99.0
300;-665.4213945375437;0.084;95.8
