Train dataset: data/classification/data.three_gauss.train.100.csv
Test dataset: data/classification/data.three_gauss.test.100.csv
Layers: [2, 3]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: indentity
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-413.69946908812744;0.3;87.66666666666667
10;-413.69946908812744;0.3;87.66666666666667
15;-419.4280963027808;0.2733333333333333;88.66666666666667
20;-413.69946908812744;0.3;87.66666666666667
25;-419.4280963027808;0.2733333333333333;88.66666666666667
30;-419.4280963027808;0.2733333333333333;88.66666666666667
35;-419.4280963027808;0.2733333333333333;88.66666666666667
40;-415.4391125062165;0.26666666666666666;88.66666666666667
45;-414.22271723189203;0.28;88.33333333333333
50;-413.35967111453664;0.25333333333333335;88.66666666666667
55;-416.13225963677644;0.2733333333333333;88.33333333333333
60;-418.21170102845633;0.2866666666666667;88.33333333333333
65;-410.23373343532774;0.2733333333333333;88.33333333333333
70;-418.90484815901624;0.29333333333333333;88.0
75;-408.15429204364784;0.26;88.33333333333333
80;-418.90484815901624;0.29333333333333333;88.0
85;-416.655507780541;0.25333333333333335;89.0
90;-416.47205761036724;0.32;87.33333333333333
95;-413.0063219575675;0.29333333333333333;88.0
100;-419.4280963027808;0.2733333333333333;88.66666666666667
105;-413.69946908812744;0.3;87.66666666666667
110;-413.0063219575675;0.29333333333333333;88.0
115;-416.13225963677644;0.2733333333333333;88.33333333333333
120;-408.15429204364784;0.26;88.33333333333333
125;-416.13225963677644;0.2733333333333333;88.33333333333333
130;-419.5979952895762;0.3;87.66666666666667
135;-416.13225963677644;0.2733333333333333;88.33333333333333
140;-416.13225963677644;0.2733333333333333;88.33333333333333
145;-415.77891047980734;0.31333333333333335;87.66666666666667
150;-416.655507780541;0.25333333333333335;89.0
155;-416.13225963677644;0.2733333333333333;88.33333333333333
160;-419.4280963027808;0.2733333333333333;88.66666666666667
165;-415.4391125062165;0.26666666666666666;88.66666666666667
170;-414.915864362452;0.2866666666666667;88.0
175;-418.7349491722208;0.26666666666666666;89.0
180;-418.21170102845633;0.2866666666666667;88.33333333333333
185;-414.22271723189203;0.28;88.33333333333333
190;-408.15429204364784;0.26;88.33333333333333
195;-413.0063219575675;0.29333333333333333;88.0
200;-413.0063219575675;0.29333333333333333;88.0
205;-407.63104389988337;0.28;87.66666666666667
210;-421.67743668125604;0.31333333333333335;87.66666666666667
215;-410.58708259229684;0.23333333333333334;89.0
220;-418.7349491722208;0.26666666666666666;89.0
225;-416.13225963677644;0.2733333333333333;88.33333333333333
230;-413.0063219575675;0.29333333333333333;88.0
235;-416.13225963677644;0.2733333333333333;88.33333333333333
240;-418.7349491722208;0.26666666666666666;89.0
245;-410.7569815790922;0.25333333333333335;89.0
250;-413.69946908812744;0.3;87.66666666666667
255;-418.21170102845633;0.2866666666666667;88.33333333333333
260;-419.4280963027808;0.2733333333333333;88.66666666666667
265;-416.3021586235718;0.29333333333333333;88.33333333333333
270;-419.4280963027808;0.2733333333333333;88.66666666666667
275;-418.7349491722208;0.26666666666666666;89.0
280;-410.7569815790922;0.25333333333333335;89.0
285;-415.4391125062165;0.26666666666666666;88.66666666666667
290;-413.69946908812744;0.3;87.66666666666667
295;-418.7349491722208;0.26666666666666666;89.0
300;-411.78992668324304;0.30666666666666664;87.66666666666667
