Train dataset: data/classification/data.three_gauss.train.100.csv
Test dataset: data/classification/data.three_gauss.test.100.csv
Layers: [2, 3]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-416.13225963677644;0.2733333333333333;88.33333333333333
10;-417.3486549111009;0.26;88.66666666666667
15;-418.56505018542543;0.24666666666666667;89.0
20;-418.56505018542543;0.24666666666666667;89.0
25;-418.56505018542543;0.24666666666666667;89.0
30;-419.7814454597499;0.23333333333333334;89.33333333333333
35;-418.56505018542543;0.24666666666666667;89.0
40;-419.7814454597499;0.23333333333333334;89.33333333333333
45;-417.87190305486547;0.24;89.33333333333333
50;-415.79246166318563;0.22666666666666666;89.33333333333333
55;-416.48560879374554;0.23333333333333334;89.0
60;-415.2692135194211;0.24666666666666667;88.66666666666667
65;-414.57606638886114;0.24;89.0
70;-416.48560879374554;0.23333333333333334;89.0
75;-414.57606638886114;0.24;89.0
80;-416.48560879374554;0.23333333333333334;89.0
85;-414.57606638886114;0.24;89.0
90;-415.2692135194211;0.24666666666666667;88.66666666666667
95;-414.57606638886114;0.24;89.0
100;-416.48560879374554;0.23333333333333334;89.0
105;-415.2692135194211;0.24666666666666667;88.66666666666667
110;-415.2692135194211;0.24666666666666667;88.66666666666667
115;-416.48560879374554;0.23333333333333334;89.0
120;-414.57606638886114;0.24;89.0
125;-416.48560879374554;0.23333333333333334;89.0
130;-416.48560879374554;0.23333333333333334;89.0
135;-416.48560879374554;0.23333333333333334;89.0
140;-415.2692135194211;0.24666666666666667;88.66666666666667
145;-415.2692135194211;0.24666666666666667;88.66666666666667
150;-416.48560879374554;0.23333333333333334;89.0
155;-416.48560879374554;0.23333333333333334;89.0
160;-415.2692135194211;0.24666666666666667;88.66666666666667
165;-416.48560879374554;0.23333333333333334;89.0
170;-416.48560879374554;0.23333333333333334;89.0
175;-416.48560879374554;0.23333333333333334;89.0
180;-415.2692135194211;0.24666666666666667;88.66666666666667
185;-414.57606638886114;0.24;89.0
190;-414.57606638886114;0.24;89.0
195;-414.57606638886114;0.24;89.0
200;-415.2692135194211;0.24666666666666667;88.66666666666667
205;-414.57606638886114;0.24;89.0
210;-416.48560879374554;0.23333333333333334;89.0
215;-415.79246166318563;0.22666666666666666;89.33333333333333
220;-415.79246166318563;0.22666666666666666;89.33333333333333
225;-416.48560879374554;0.23333333333333334;89.0
230;-414.57606638886114;0.24;89.0
235;-416.48560879374554;0.23333333333333334;89.0
240;-416.48560879374554;0.23333333333333334;89.0
245;-414.57606638886114;0.24;89.0
250;-416.48560879374554;0.23333333333333334;89.0
255;-416.48560879374554;0.23333333333333334;89.0
260;-416.48560879374554;0.23333333333333334;89.0
265;-414.57606638886114;0.24;89.0
270;-415.2692135194211;0.24666666666666667;88.66666666666667
275;-416.48560879374554;0.23333333333333334;89.0
280;-414.57606638886114;0.24;89.0
285;-416.48560879374554;0.23333333333333334;89.0
290;-414.57606638886114;0.24;89.0
295;-415.2692135194211;0.24666666666666667;88.66666666666667
300;-414.57606638886114;0.24;89.0
