Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 2]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: tanh
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-675.8186014959429;0.018;99.1
10;-675.125454365383;0.046;97.7
15;-659.1830703625042;0.138;93.10000000000001
20;-678.5911900181827;0.038;98.1
25;-677.8980428876228;0.042;97.89999999999999
30;-677.2048957570629;0.01;99.5
35;-677.8980428876228;0.006;99.7
40;-677.8980428876228;0.036;98.2
45;-676.5117486265028;0.008;99.6
50;-669.5802773209034;0.06;97.0
55;-646.706422012425;0.156;92.2
60;-673.0460129737032;0.064;96.8
65;-661.262511754184;0.144;92.80000000000001
70;-661.9556588847439;0.128;93.60000000000001
75;-670.9665715820233;0.058;97.1
80;-678.5911900181827;0.08;96.0
85;-661.955658884744;0.128;93.60000000000001
90;-674.432307234823;0.032;98.4
95;-670.9665715820233;0.058;97.1
100;-677.8980428876228;0.018;99.1
105;-670.9665715820233;0.058;97.1
110;-658.4899232319442;0.154;92.30000000000001
115;-674.432307234823;0.068;96.6
120;-676.5117486265028;0.008;99.6
125;-676.5117486265029;0.074;96.3
130;-663.3419531458638;0.126;93.7
135;-660.569364623624;0.13;93.5
140;-673.0460129737032;0.046;97.7
145;-677.8980428876228;0.006;99.7
150;-660.5693646236241;0.142;92.9
155;-661.2625117541841;0.126;93.7
160;-661.9556588847439;0.128;93.60000000000001
165;-669.5802773209034;0.06;97.0
170;-668.8871301903434;0.118;94.1
175;-670.9665715820233;0.052;97.39999999999999
180;-661.9556588847439;0.092;95.39999999999999
185;-673.0460129737031;0.058;97.1
190;-675.818601495943;0.072;96.39999999999999
195;-675.125454365383;0.028;98.6
200;-677.2048957570629;0.076;96.2
205;-676.5117486265029;0.074;96.3
210;-675.125454365383;0.01;99.5
215;-664.7282474069838;0.088;95.6
220;-670.9665715820233;0.052;97.39999999999999
225;-661.9556588847439;0.11;94.5
230;-659.1830703625042;0.162;91.9
235;-675.818601495943;0.072;96.39999999999999
240;-675.8186014959429;0.018;99.1
245;-670.9665715820233;0.058;97.1
250;-659.8762174930641;0.122;93.89999999999999
255;-677.2048957570629;0.076;96.2
260;-665.4213945375437;0.066;96.7
265;-652.2515990569048;0.184;90.8
270;-676.5117486265029;0.044;97.8
275;-665.4213945375437;0.084;95.8
280;-672.3528658431433;0.05;97.5
285;-673.7391601042631;0.06;97.0
290;-677.8980428876228;0.018;99.1
295;-675.125454365383;0.01;99.5
300;-666.8076887986637;0.076;96.2
