Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 2]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-682.7500728015425;0.002;99.9
10;-688.295249846022;0.018;99.1
15;-684.1363670626624;0.006;99.7
20;-683.4432199321025;0.01;99.5
25;-681.3637785404226;0.004;99.8
30;-670.9665715820233;0.016;99.2
35;-676.5117486265028;0.008;99.6
40;-682.7500728015425;0.002;99.9
45;-684.8295141932224;0.014;99.3
50;-677.8980428876228;0.006;99.7
55;-679.9774842793026;0.012;99.4
60;-681.3637785404226;0.01;99.5
65;-679.9774842793026;0.006;99.7
70;-679.9774842793026;0.006;99.7
75;-677.8980428876228;0.006;99.7
80;-683.4432199321025;0.01;99.5
85;-679.9774842793026;0.012;99.4
90;-682.7500728015425;0.008;99.6
95;-681.3637785404226;0.01;99.5
100;-680.6706314098626;0.008;99.6
105;-677.8980428876228;0.006;99.7
110;-683.4432199321025;0.01;99.5
115;-682.7500728015425;0.008;99.6
120;-680.6706314098626;0.008;99.6
125;-681.3637785404226;0.01;99.5
130;-686.2158084543422;0.012;99.4
135;-676.5117486265028;0.008;99.6
140;-679.9774842793026;0.006;99.7
145;-682.7500728015425;0.008;99.6
150;-681.3637785404226;0.01;99.5
155;-681.3637785404226;0.01;99.5
160;-677.8980428876228;0.006;99.7
165;-677.8980428876228;0.006;99.7
170;-679.2843371487427;0.004;99.8
175;-677.8980428876228;0.006;99.7
180;-677.8980428876228;0.006;99.7
185;-677.8980428876228;0.006;99.7
190;-677.8980428876228;0.006;99.7
195;-677.8980428876228;0.006;99.7
200;-675.125454365383;0.01;99.5
205;-680.6706314098626;0.008;99.6
210;-677.8980428876228;0.006;99.7
215;-682.7500728015425;0.008;99.6
220;-677.8980428876228;0.006;99.7
225;-679.9774842793026;0.012;99.4
230;-677.8980428876228;0.006;99.7
235;-677.8980428876228;0.006;99.7
240;-677.8980428876228;0.006;99.7
245;-681.3637785404226;0.01;99.5
250;-681.3637785404226;0.01;99.5
255;-675.125454365383;0.01;99.5
260;-681.3637785404226;0.01;99.5
265;-677.8980428876228;0.006;99.7
270;-679.2843371487427;0.004;99.8
275;-677.8980428876228;0.006;99.7
280;-679.9774842793026;0.012;99.4
285;-677.8980428876228;0.006;99.7
290;-681.3637785404226;0.01;99.5
295;-677.8980428876228;0.006;99.7
300;-681.3637785404226;0.01;99.5
