Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 32, 2]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: indentity
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-673.0460129737031;0.058;97.1
10;-677.2048957570628;0.022;98.9
15;-650.1721576652249;0.196;90.2
20;-666.8076887986637;0.064;96.8
25;-670.9665715820233;0.058;97.1
30;-675.8186014959429;0.018;99.1
35;-677.8980428876228;0.012;99.4
40;-670.9665715820233;0.052;97.39999999999999
45;-673.0460129737032;0.022;98.9
50;-660.5693646236241;0.124;93.8
55;-643.2406863596253;0.23;88.5
60;-677.8980428876229;0.078;96.1
65;-657.7967761013842;0.164;91.8
70;-668.8871301903434;0.112;94.39999999999999
75;-663.3419531458638;0.096;95.19999999999999
80;-678.5911900181827;0.086;95.7
85;-661.2625117541841;0.114;94.3
90;-675.818601495943;0.072;96.39999999999999
95;-661.9556588847439;0.092;95.39999999999999
100;-670.9665715820233;0.052;97.39999999999999
105;-664.7282474069838;0.082;95.89999999999999
110;-653.6378933180245;0.182;90.9
115;-676.5117486265029;0.026;98.7
120;-677.8980428876228;0.012;99.4
125;-661.262511754184;0.132;93.4
130;-660.569364623624;0.13;93.5
135;-659.1830703625042;0.162;91.9
140;-676.5117486265029;0.074;96.3
145;-678.5911900181827;0.02;99.0
150;-650.1721576652249;0.196;90.2
155;-650.8653047957848;0.15;92.5
160;-660.569364623624;0.148;92.60000000000001
165;-665.4213945375437;0.084;95.8
170;-659.1830703625042;0.138;93.10000000000001
175;-675.125454365383;0.046;97.7
180;-662.6488060153039;0.094;95.3
185;-675.818601495943;0.072;96.39999999999999
190;-671.6597187125833;0.108;94.6
195;-674.432307234823;0.05;97.5
200;-677.8980428876229;0.084;95.8
205;-668.1939830597835;0.116;94.19999999999999
210;-677.8980428876228;0.042;97.89999999999999
215;-661.2625117541841;0.126;93.7
220;-664.7282474069838;0.082;95.89999999999999
225;-650.8653047957848;0.15;92.5
230;-650.8653047957848;0.228;88.6
235;-674.432307234823;0.062;96.89999999999999
240;-676.5117486265029;0.032;98.4
245;-664.7282474069838;0.088;95.6
250;-647.399569142985;0.17;91.5
255;-676.5117486265028;0.092;95.39999999999999
260;-670.9665715820233;0.052;97.39999999999999
265;-648.7858634041049;0.258;87.1
270;-664.0351002764238;0.098;95.1
275;-661.2625117541841;0.108;94.6
280;-666.1145416681037;0.08;96.0
285;-663.3419531458638;0.126;93.7
290;-674.432307234823;0.02;99.0
295;-675.818601495943;0.072;96.39999999999999
300;-664.7282474069838;0.088;95.6
