Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 8, 2]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-679.2843371487427;0.004;99.8
10;-683.4432199321025;0.016;99.2
15;-677.8980428876228;0.018;99.1
20;-678.5911900181827;0.014;99.3
25;-676.5117486265028;0.008;99.6
30;-675.125454365383;0.01;99.5
35;-675.125454365383;0.01;99.5
40;-679.9774842793026;0.012;99.4
45;-677.2048957570628;0.016;99.2
50;-675.818601495943;0.012;99.4
55;-677.2048957570628;0.022;98.9
60;-677.8980428876228;0.018;99.1
65;-680.6706314098626;0.02;99.0
70;-676.5117486265029;0.014;99.3
75;-677.2048957570628;0.016;99.2
80;-677.2048957570628;0.016;99.2
85;-677.2048957570628;0.016;99.2
90;-679.9774842793026;0.006;99.7
95;-677.2048957570628;0.016;99.2
100;-677.2048957570629;0.01;99.5
105;-677.2048957570628;0.01;99.5
110;-678.5911900181827;0.014;99.3
115;-674.432307234823;0.02;99.0
120;-676.5117486265028;0.014;99.3
125;-677.8980428876228;0.006;99.7
130;-679.9774842793026;0.006;99.7
135;-677.8980428876228;0.018;99.1
140;-675.818601495943;0.012;99.4
145;-677.8980428876228;0.006;99.7
150;-677.2048957570628;0.016;99.2
155;-677.2048957570628;0.016;99.2
160;-677.8980428876228;0.006;99.7
165;-677.8980428876228;0.018;99.1
170;-678.5911900181827;0.008;99.6
175;-677.8980428876228;0.018;99.1
180;-676.5117486265028;0.008;99.6
185;-675.818601495943;0.012;99.4
190;-676.5117486265028;0.008;99.6
195;-677.2048957570628;0.01;99.5
200;-675.125454365383;0.01;99.5
205;-677.8980428876228;0.012;99.4
210;-676.5117486265028;0.008;99.6
215;-681.3637785404226;0.01;99.5
220;-675.818601495943;0.012;99.4
225;-678.5911900181827;0.014;99.3
230;-677.2048957570629;0.01;99.5
235;-677.2048957570628;0.016;99.2
240;-675.125454365383;0.01;99.5
245;-676.5117486265028;0.008;99.6
250;-677.8980428876228;0.006;99.7
255;-675.818601495943;0.012;99.4
260;-675.125454365383;0.01;99.5
265;-679.2843371487427;0.01;99.5
270;-676.5117486265029;0.014;99.3
275;-675.125454365383;0.01;99.5
280;-677.8980428876228;0.018;99.1
285;-677.2048957570628;0.016;99.2
290;-678.5911900181827;0.014;99.3
295;-675.125454365383;0.01;99.5
300;-677.2048957570628;0.016;99.2
