Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 8, 2]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: tanh
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-626.6051552261865;0.08;96.0
10;-679.2843371487427;0.016;99.2
15;-675.818601495943;0.012;99.4
20;-681.3637785404226;0.01;99.5
25;-681.3637785404226;0.01;99.5
30;-668.1939830597835;0.02;99.0
35;-673.7391601042632;0.012;99.4
40;-672.3528658431433;0.014;99.3
45;-677.2048957570628;0.016;99.2
50;-674.4323072348232;0.014;99.3
55;-673.7391601042632;0.018;99.1
60;-675.818601495943;0.012;99.4
65;-679.9774842793026;0.018;99.1
70;-675.818601495943;0.012;99.4
75;-675.818601495943;0.012;99.4
80;-681.3637785404226;0.01;99.5
85;-677.2048957570628;0.016;99.2
90;-686.2158084543422;0.012;99.4
95;-678.5911900181827;0.014;99.3
100;-675.125454365383;0.01;99.5
105;-677.8980428876228;0.012;99.4
110;-677.2048957570629;0.01;99.5
115;-675.8186014959429;0.018;99.1
120;-675.125454365383;0.01;99.5
125;-677.8980428876228;0.006;99.7
130;-681.3637785404226;0.01;99.5
135;-677.2048957570628;0.016;99.2
140;-679.9774842793026;0.006;99.7
145;-677.8980428876228;0.006;99.7
150;-677.2048957570628;0.016;99.2
155;-677.2048957570628;0.016;99.2
160;-676.5117486265028;0.008;99.6
165;-675.818601495943;0.012;99.4
170;-675.818601495943;0.012;99.4
175;-677.2048957570628;0.016;99.2
180;-675.125454365383;0.01;99.5
185;-676.5117486265028;0.008;99.6
190;-673.7391601042632;0.012;99.4
195;-679.9774842793026;0.006;99.7
200;-670.9665715820233;0.016;99.2
205;-677.2048957570628;0.016;99.2
210;-676.5117486265028;0.008;99.6
215;-681.3637785404226;0.01;99.5
220;-675.818601495943;0.012;99.4
225;-681.3637785404226;0.01;99.5
230;-676.5117486265028;0.008;99.6
235;-677.2048957570628;0.016;99.2
240;-675.125454365383;0.01;99.5
245;-678.5911900181827;0.014;99.3
250;-676.5117486265028;0.014;99.3
255;-675.818601495943;0.012;99.4
260;-681.3637785404226;0.01;99.5
265;-676.5117486265028;0.008;99.6
270;-681.3637785404226;0.01;99.5
275;-673.7391601042632;0.012;99.4
280;-677.2048957570628;0.016;99.2
285;-675.818601495943;0.012;99.4
290;-677.2048957570628;0.016;99.2
295;-675.125454365383;0.01;99.5
300;-677.2048957570628;0.016;99.2
