Train dataset: data/classification/data.three_gauss.train.100.csv
Test dataset: data/classification/data.three_gauss.test.100.csv
Layers: [2, 16, 8, 3]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-440.8520790313295;0.1;92.33333333333333
10;-430.45487207293024;0.06666666666666667;93.0
15;-439.635683757005;0.11333333333333333;92.0
20;-449.0656127291042;0.08;93.33333333333333
25;-460.2351851192924;0.08;92.66666666666666
30;-456.23265013934986;0.1;93.0
35;-440.74784716238474;0.06666666666666667;93.33333333333333
40;-439.81913392717877;0.06666666666666667;93.0
45;-430.10152291596114;0.06;93.33333333333333
50;-465.72824622929966;0.08;92.33333333333333
55;-464.6296340072982;0.08;92.66666666666666
60;-455.31748808752207;0.05333333333333334;93.0
65;-437.9095915222943;0.05333333333333334;93.66666666666667
70;-464.10638586353366;0.05333333333333334;93.0
75;-446.52859031151047;0.05333333333333334;93.0
80;-459.4242549364094;0.06666666666666667;93.0
85;-460.2351851192924;0.08;92.66666666666666
90;-464.10638586353366;0.05333333333333334;93.0
95;-458.6133247535264;0.05333333333333334;93.33333333333333
100;-446.12312522006897;0.06;93.0
105;-455.31748808752207;0.05333333333333334;93.0
110;-461.90916141953073;0.05333333333333334;93.66666666666667
115;-455.31748808752207;0.05333333333333334;93.0
120;-458.20785966208484;0.06;93.33333333333333
125;-449.4189618860733;0.06;93.33333333333333
130;-448.4902486508673;0.06;93.0
135;-454.9120229960805;0.06;93.0
140;-450.51757410807477;0.06;93.0
145;-463.0077736415322;0.05333333333333334;93.33333333333333
150;-454.9120229960805;0.06;93.0
155;-458.6133247535264;0.05333333333333334;93.33333333333333
160;-455.31748808752207;0.05333333333333334;93.0
165;-459.3064718840863;0.06;93.0
170;-450.51757410807477;0.06;93.0
175;-459.7119369755278;0.05333333333333334;93.0
180;-459.3064718840863;0.06;93.0
185;-459.7119369755278;0.05333333333333334;93.0
190;-459.7119369755278;0.05333333333333334;93.0
195;-459.7119369755278;0.05333333333333334;93.0
200;-459.3064718840863;0.06;93.0
205;-459.3064718840863;0.06;93.0
210;-458.6133247535264;0.05333333333333334;93.33333333333333
215;-450.92303919951627;0.05333333333333334;93.0
220;-450.51757410807477;0.06;93.0
225;-460.81054919752927;0.05333333333333334;92.66666666666666
230;-459.7119369755278;0.05333333333333334;93.0
235;-450.51757410807477;0.06;93.0
240;-458.6133247535264;0.05333333333333334;93.33333333333333
245;-450.51757410807477;0.06;93.0
250;-459.7119369755278;0.05333333333333334;93.0
255;-459.3064718840863;0.06;93.0
260;-450.92303919951627;0.05333333333333334;93.0
265;-459.3064718840863;0.06;93.0
270;-460.40508410608777;0.06;92.66666666666666
275;-460.5228671584108;0.06666666666666667;92.66666666666666
280;-450.92303919951627;0.05333333333333334;93.0
285;-460.5228671584108;0.06666666666666667;92.66666666666666
290;-457.51471253152494;0.05333333333333334;93.66666666666667
295;-459.3064718840863;0.06;93.0
300;-459.7119369755278;0.05333333333333334;93.0
