Train dataset: data/classification/data.simple.train.100.csv
Test dataset: data/classification/data.simple.test.100.csv
Layers: [2, 16, 8, 2]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: tanh
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-63.76955071151458;0.08;96.0
10;-65.15584497263448;0.0;100.0
15;-63.76955071151458;0.08;96.0
20;-65.15584497263448;0.0;100.0
25;-65.84899210319443;0.02;99.0
30;-65.15584497263448;0.0;100.0
35;-63.07640358095463;0.06;97.0
40;-65.15584497263448;0.0;100.0
45;-65.15584497263448;0.0;100.0
50;-65.84899210319443;0.02;99.0
55;-63.07640358095463;0.06;97.0
60;-65.15584497263448;0.0;100.0
65;-65.15584497263448;0.0;100.0
70;-65.15584497263448;0.0;100.0
75;-65.15584497263448;0.0;100.0
80;-65.15584497263448;0.0;100.0
85;-63.07640358095463;0.06;97.0
90;-64.46269784207453;0.04;98.0
95;-65.15584497263448;0.0;100.0
100;-65.15584497263448;0.0;100.0
105;-64.46269784207453;0.04;98.0
110;-65.15584497263448;0.0;100.0
115;-65.84899210319443;0.02;99.0
120;-65.84899210319443;0.02;99.0
125;-65.15584497263448;0.0;100.0
130;-65.15584497263448;0.0;100.0
135;-64.46269784207453;0.04;98.0
140;-65.15584497263448;0.0;100.0
145;-65.15584497263448;0.0;100.0
150;-63.76955071151458;0.02;99.0
155;-65.15584497263448;0.0;100.0
160;-65.15584497263448;0.0;100.0
165;-65.15584497263448;0.0;100.0
170;-65.15584497263448;0.0;100.0
175;-65.15584497263448;0.0;100.0
180;-65.15584497263448;0.0;100.0
185;-65.15584497263448;0.0;100.0
190;-65.15584497263448;0.0;100.0
195;-65.15584497263448;0.0;100.0
200;-65.15584497263448;0.0;100.0
205;-65.15584497263448;0.0;100.0
210;-65.15584497263448;0.0;100.0
215;-65.15584497263448;0.0;100.0
220;-65.15584497263448;0.0;100.0
225;-65.15584497263448;0.0;100.0
230;-65.15584497263448;0.0;100.0
235;-65.15584497263448;0.0;100.0
240;-65.15584497263448;0.0;100.0
245;-65.15584497263448;0.0;100.0
250;-65.15584497263448;0.0;100.0
255;-65.15584497263448;0.0;100.0
260;-65.15584497263448;0.0;100.0
265;-65.15584497263448;0.0;100.0
270;-65.15584497263448;0.0;100.0
275;-65.15584497263448;0.0;100.0
280;-65.15584497263448;0.0;100.0
285;-65.15584497263448;0.0;100.0
290;-65.15584497263448;0.0;100.0
295;-65.15584497263448;0.0;100.0
300;-65.15584497263448;0.0;100.0
