Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 16, 8, 2]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: tanh
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-693.1472797599417;0.038;98.1
10;-678.5911900181827;0.014;99.3
15;-675.818601495943;0.012;99.4
20;-686.9089555849022;0.02;99.0
25;-684.8295141932224;0.014;99.3
30;-643.2406863596252;0.056;97.2
35;-678.5911900181827;0.008;99.6
40;-664.0351002764238;0.026;98.7
45;-685.5226613237822;0.016;99.2
50;-670.9665715820233;0.016;99.2
55;-657.7967761013842;0.038;98.1
60;-675.818601495943;0.012;99.4
65;-688.295249846022;0.042;97.89999999999999
70;-675.125454365383;0.01;99.5
75;-677.2048957570628;0.016;99.2
80;-693.8404268905017;0.034;98.3
85;-677.8980428876228;0.018;99.1
90;-686.9089555849021;0.014;99.3
95;-681.3637785404226;0.01;99.5
100;-683.4432199321025;0.01;99.5
105;-684.8295141932223;0.014;99.3
110;-686.9089555849021;0.02;99.0
115;-670.2734244514634;0.026;98.7
120;-676.5117486265028;0.014;99.3
125;-675.818601495943;0.012;99.4
130;-686.9089555849021;0.014;99.3
135;-677.2048957570628;0.016;99.2
140;-686.9089555849021;0.014;99.3
145;-684.8295141932224;0.008;99.6
150;-682.7500728015425;0.02;99.0
155;-681.3637785404226;0.016;99.2
160;-675.818601495943;0.012;99.4
165;-673.0460129737032;0.016;99.2
170;-684.8295141932224;0.008;99.6
175;-675.125454365383;0.01;99.5
180;-666.8076887986635;0.022;98.9
185;-675.818601495943;0.012;99.4
190;-673.7391601042632;0.012;99.4
195;-670.9665715820233;0.016;99.2
200;-666.8076887986635;0.022;98.9
205;-680.6706314098626;0.008;99.6
210;-659.8762174930641;0.032;98.4
215;-691.0678383682618;0.026;98.7
220;-669.5802773209034;0.018;99.1
225;-675.818601495943;0.012;99.4
230;-678.5911900181827;0.014;99.3
235;-677.2048957570628;0.016;99.2
240;-677.8980428876228;0.006;99.7
245;-686.2158084543422;0.012;99.4
250;-681.3637785404226;0.01;99.5
255;-675.818601495943;0.012;99.4
260;-670.9665715820233;0.016;99.2
265;-680.6706314098626;0.008;99.6
270;-680.6706314098626;0.014;99.3
275;-675.125454365383;0.01;99.5
280;-684.8295141932224;0.02;99.0
285;-677.8980428876228;0.006;99.7
290;-683.4432199321025;0.01;99.5
295;-677.8980428876228;0.006;99.7
300;-677.2048957570628;0.016;99.2
