Train dataset: data/classification/data.three_gauss.train.100.csv
Test dataset: data/classification/data.three_gauss.test.100.csv
Layers: [2, 4, 2, 3]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: indentity
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-446.9205042195736;0.11333333333333333;90.33333333333333
10;-431.9839629540889;0.22;90.33333333333333
15;-451.4713009109965;0.22;89.33333333333333
20;-439.50434952130365;0.2;90.66666666666666
25;-422.3591214274786;0.04;93.66666666666667
30;-425.1317099497184;0.06;93.33333333333333
35;-436.353398274379;0.05333333333333334;92.0
40;-426.7535703154844;0.04;93.66666666666667
45;-437.07155897265466;0.22666666666666666;90.0
50;-463.5966889031474;0.12;89.33333333333333
55;-436.9808782870883;0.07333333333333333;92.33333333333333
60;-323.7060363686162;0.11333333333333333;83.33333333333334
65;-436.73176099906385;0.18;91.0
70;-447.901333389252;0.13333333333333333;91.33333333333333
75;-430.86033716437174;0.05333333333333334;92.33333333333333
80;-428.9893595105813;0.16;91.33333333333333
85;-421.2605092054772;0.04;94.0
90;-396.72413998109784;0.16;88.66666666666667
95;-420.7372610617126;0.06;93.33333333333333
100;-401.35206617470874;0.5;82.66666666666667
105;-445.2465279193353;0.1;92.33333333333333
110;-446.240908272392;0.06666666666666667;90.33333333333333
115;-452.5448995652822;0.08;92.33333333333333
120;-400.72667496104054;0.08666666666666667;91.33333333333333
125;-421.8358732837141;0.06;93.0
130;-427.66873236731215;0.09333333333333334;93.0
135;-434.1561738303761;0.05333333333333334;92.66666666666666
140;-441.9371400699526;0.17333333333333334;91.33333333333333
145;-470.0049120649825;0.12;90.0
150;-404.375860784014;0.06;92.33333333333333
155;-431.8411663340502;0.05333333333333334;92.66666666666666
160;-424.89614384507234;0.07333333333333333;93.33333333333333
165;-461.8570454850584;0.08666666666666667;90.0
170;-460.1174020669693;0.07333333333333333;88.66666666666667
175;-435.25478605237754;0.05333333333333334;92.33333333333333
180;-418.76205153897746;0.10666666666666667;92.33333333333333
185;-442.01635837118164;0.06666666666666667;92.33333333333333
190;-442.3040404103001;0.08;92.0
195;-424.08521366218935;0.08;93.0
200;-415.76744809546994;0.04;93.0
205;-427.73439948516284;0.05333333333333334;92.66666666666666
210;-438.98110137753906;0.22;90.0
215;-380.79530716159735;0.04;90.0
220;-429.7617249423703;0.05333333333333334;92.66666666666666
225;-407.5539143976953;0.06;92.0
230;-452.2957822772578;0.13333333333333333;90.0
235;-423.0522685580386;0.04666666666666667;93.33333333333333
240;-429.93162392916577;0.04;93.33333333333333
245;-429.69605782451964;0.06666666666666667;93.33333333333333
250;-427.07981710569686;0.16666666666666666;91.33333333333333
255;-435.05778469882546;0.16;92.33333333333333
260;-438.19727356141277;0.06;92.66666666666666
265;-432.5864293990825;0.07333333333333333;92.33333333333333
270;-437.0329942215606;0.11333333333333333;92.0
275;-499.78522511134463;0.10666666666666667;85.66666666666667
280;-401.943070235365;0.07333333333333333;91.66666666666666
285;-396.3978931908854;0.06666666666666667;91.33333333333333
290;-400.8830227644576;0.18666666666666668;88.66666666666667
295;-377.6693694823884;0.04666666666666667;89.66666666666666
300;-419.8742149443573;0.05333333333333334;93.0
