Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 4, 2, 2]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-681.3637785404226;0.016;99.2
10;-681.3637785404226;0.01;99.5
15;-676.5117486265028;0.014;99.3
20;-683.4432199321025;0.01;99.5
25;-685.5226613237822;0.016;99.2
30;-643.2406863596253;0.056;97.2
35;-690.3746912377019;0.024;98.8
40;-662.6488060153039;0.028;98.6
45;-684.8295141932224;0.02;99.0
50;-662.648806015304;0.028;98.6
55;-659.8762174930641;0.038;98.1
60;-675.125454365383;0.016;99.2
65;-685.5226613237822;0.046;97.7
70;-677.8980428876228;0.006;99.7
75;-670.9665715820233;0.016;99.2
80;-688.295249846022;0.018;99.1
85;-679.9774842793026;0.018;99.1
90;-684.8295141932224;0.014;99.3
95;-681.3637785404226;0.01;99.5
100;-679.9774842793026;0.006;99.7
105;-683.4432199321025;0.01;99.5
110;-679.9774842793026;0.012;99.4
115;-677.2048957570628;0.034;98.3
120;-675.125454365383;0.01;99.5
125;-675.125454365383;0.01;99.5
130;-686.9089555849022;0.02;99.0
135;-675.818601495943;0.024;98.8
140;-684.1363670626624;0.012;99.4
145;-688.295249846022;0.018;99.1
150;-689.6815441071419;0.034;98.3
155;-683.4432199321025;0.016;99.2
160;-675.818601495943;0.012;99.4
165;-675.818601495943;0.012;99.4
170;-685.5226613237824;0.01;99.5
175;-665.4213945375437;0.024;98.8
180;-662.6488060153039;0.028;98.6
185;-675.818601495943;0.012;99.4
190;-672.3528658431433;0.014;99.3
195;-664.0351002764238;0.026;98.7
200;-664.0351002764238;0.026;98.7
205;-681.3637785404226;0.01;99.5
210;-659.8762174930641;0.032;98.4
215;-686.2158084543422;0.018;99.1
220;-668.1939830597835;0.02;99.0
225;-677.2048957570628;0.016;99.2
230;-681.3637785404226;0.01;99.5
235;-677.2048957570628;0.022;98.9
240;-677.8980428876228;0.006;99.7
245;-680.6706314098626;0.008;99.6
250;-679.9774842793026;0.012;99.4
255;-668.1939830597835;0.02;99.0
260;-675.125454365383;0.01;99.5
265;-681.3637785404226;0.01;99.5
270;-681.3637785404226;0.01;99.5
275;-678.5911900181827;0.008;99.6
280;-679.9774842793026;0.018;99.1
285;-681.3637785404226;0.01;99.5
290;-683.4432199321025;0.01;99.5
295;-676.5117486265028;0.008;99.6
300;-677.2048957570628;0.016;99.2
