Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 128, 64, 32, 2]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-665.4213945375437;0.024;98.8
10;-677.2048957570628;0.016;99.2
15;-668.1939830597835;0.02;99.0
20;-687.602102715462;0.022;98.9
25;-695.9198682821815;0.04;98.0
30;-662.6488060153039;0.028;98.6
35;-676.5117486265028;0.008;99.6
40;-665.4213945375437;0.024;98.8
45;-685.5226613237822;0.016;99.2
50;-664.0351002764238;0.026;98.7
55;-666.8076887986635;0.022;98.9
60;-672.3528658431433;0.014;99.3
65;-679.9774842793026;0.024;98.8
70;-673.7391601042632;0.012;99.4
75;-669.5802773209034;0.018;99.1
80;-690.3746912377019;0.024;98.8
85;-677.2048957570628;0.016;99.2
90;-686.9089555849021;0.014;99.3
95;-682.0569256709825;0.012;99.4
100;-684.1363670626624;0.006;99.7
105;-681.3637785404226;0.01;99.5
110;-688.295249846022;0.018;99.1
115;-674.432307234823;0.02;99.0
120;-667.5008359292235;0.024;98.8
125;-677.8980428876228;0.006;99.7
130;-687.602102715462;0.016;99.2
135;-677.2048957570628;0.016;99.2
140;-688.988396976582;0.02;99.0
145;-688.988396976582;0.02;99.0
150;-684.8295141932224;0.02;99.0
155;-683.4432199321025;0.016;99.2
160;-673.7391601042632;0.012;99.4
165;-673.7391601042632;0.012;99.4
170;-679.9774842793026;0.006;99.7
175;-675.125454365383;0.01;99.5
180;-668.1939830597835;0.02;99.0
185;-675.125454365383;0.01;99.5
190;-673.7391601042632;0.012;99.4
195;-664.0351002764238;0.026;98.7
200;-665.4213945375437;0.024;98.8
205;-682.7500728015425;0.008;99.6
210;-662.6488060153039;0.028;98.6
215;-697.9993096738613;0.046;97.7
220;-670.9665715820233;0.016;99.2
225;-673.7391601042632;0.012;99.4
230;-682.7500728015425;0.008;99.6
235;-679.2843371487427;0.016;99.2
240;-676.5117486265028;0.008;99.6
245;-680.6706314098626;0.008;99.6
250;-677.2048957570628;0.016;99.2
255;-670.9665715820233;0.016;99.2
260;-670.9665715820233;0.016;99.2
265;-681.3637785404226;0.01;99.5
270;-686.9089555849021;0.014;99.3
275;-676.5117486265028;0.008;99.6
280;-686.2158084543423;0.024;98.8
285;-682.0569256709825;0.012;99.4
290;-686.2158084543422;0.018;99.1
295;-677.8980428876228;0.006;99.7
300;-677.2048957570628;0.016;99.2
