Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 32, 16, 8, 2]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: tanh
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-681.3637785404226;0.016;99.2
10;-677.8980428876228;0.018;99.1
15;-669.5802773209034;0.018;99.1
20;-691.0678383682618;0.032;98.4
25;-700.0787510655412;0.058;97.1
30;-658.4899232319442;0.034;98.3
35;-677.2048957570628;0.01;99.5
40;-665.4213945375436;0.024;98.8
45;-678.5911900181827;0.014;99.3
50;-665.4213945375436;0.024;98.8
55;-659.8762174930641;0.032;98.4
60;-672.3528658431433;0.014;99.3
65;-678.5911900181827;0.026;98.7
70;-673.7391601042632;0.012;99.4
75;-669.5802773209034;0.018;99.1
80;-682.0569256709825;0.012;99.4
85;-677.8980428876228;0.018;99.1
90;-690.3746912377019;0.024;98.8
95;-683.4432199321025;0.01;99.5
100;-688.988396976582;0.02;99.0
105;-686.2158084543422;0.018;99.1
110;-679.2843371487427;0.01;99.5
115;-662.6488060153039;0.034;98.3
120;-671.6597187125833;0.018;99.1
125;-681.3637785404226;0.01;99.5
130;-687.602102715462;0.016;99.2
135;-675.818601495943;0.024;98.8
140;-686.2158084543422;0.012;99.4
145;-695.9198682821816;0.04;98.0
150;-691.0678383682618;0.032;98.4
155;-687.602102715462;0.034;98.3
160;-675.818601495943;0.012;99.4
165;-672.3528658431433;0.014;99.3
170;-677.2048957570629;0.01;99.5
175;-676.5117486265028;0.014;99.3
180;-661.262511754184;0.03;98.5
185;-681.3637785404226;0.01;99.5
190;-665.4213945375437;0.024;98.8
195;-665.4213945375437;0.024;98.8
200;-665.4213945375437;0.024;98.8
205;-689.6815441071419;0.028;98.6
210;-666.8076887986635;0.022;98.9
215;-705.6239281100208;0.068;96.6
220;-669.5802773209034;0.018;99.1
225;-670.9665715820233;0.016;99.2
230;-677.8980428876228;0.018;99.1
235;-644.6269806207451;0.054;97.3
240;-676.5117486265028;0.008;99.6
245;-687.602102715462;0.016;99.2
250;-677.8980428876228;0.012;99.4
255;-669.5802773209034;0.018;99.1
260;-665.4213945375437;0.024;98.8
265;-682.7500728015425;0.008;99.6
270;-688.988396976582;0.02;99.0
275;-676.5117486265028;0.014;99.3
280;-684.8295141932223;0.032;98.4
285;-675.125454365383;0.01;99.5
290;-682.0569256709825;0.012;99.4
295;-681.3637785404226;0.01;99.5
300;-677.2048957570628;0.016;99.2
