Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 16, 8, 4, 2, 2]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: indentity
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-677.2048957570628;0.016;99.2
10;-670.9665715820233;0.052;97.39999999999999
15;-659.1830703625042;0.162;91.9
20;-676.5117486265028;0.008;99.6
25;-677.2048957570628;0.04;98.0
30;-677.2048957570628;0.016;99.2
35;-676.5117486265029;0.044;97.8
40;-677.8980428876228;0.018;99.1
45;-677.8980428876228;0.018;99.1
50;-666.1145416681037;0.068;96.6
55;-659.8762174930641;0.134;93.30000000000001
60;-671.6597187125833;0.102;94.89999999999999
65;-661.9556588847439;0.134;93.30000000000001
70;-659.1830703625042;0.138;93.10000000000001
75;-664.7282474069838;0.082;95.89999999999999
80;-675.818601495943;0.072;96.39999999999999
85;-648.7858634041049;0.162;91.9
90;-674.432307234823;0.02;99.0
95;-676.5117486265029;0.026;98.7
100;-675.125454365383;0.046;97.7
105;-666.1145416681037;0.074;96.3
110;-653.6378933180246;0.176;91.2
115;-676.5117486265029;0.074;96.3
120;-676.5117486265028;0.008;99.6
125;-678.5911900181827;0.08;96.0
130;-661.9556588847439;0.134;93.30000000000001
135;-660.569364623624;0.13;93.5
140;-677.2048957570628;0.016;99.2
145;-673.0460129737031;0.058;97.1
150;-660.569364623624;0.13;93.5
155;-662.6488060153039;0.106;94.69999999999999
160;-673.0460129737032;0.1;95.0
165;-670.9665715820233;0.058;97.1
170;-677.8980428876229;0.078;96.1
175;-676.5117486265028;0.008;99.6
180;-666.1145416681037;0.074;96.3
185;-677.2048957570628;0.016;99.2
190;-671.6597187125833;0.102;94.89999999999999
195;-676.5117486265028;0.008;99.6
200;-673.0460129737031;0.034;98.3
205;-670.2734244514634;0.104;94.8
210;-678.5911900181827;0.02;99.0
215;-670.9665715820233;0.058;97.1
220;-677.2048957570628;0.016;99.2
225;-666.8076887986637;0.064;96.8
230;-661.9556588847439;0.134;93.30000000000001
235;-676.5117486265028;0.092;95.39999999999999
240;-661.9556588847439;0.128;93.60000000000001
245;-666.1145416681037;0.074;96.3
250;-659.8762174930641;0.122;93.89999999999999
255;-674.432307234823;0.062;96.89999999999999
260;-672.3528658431433;0.05;97.5
265;-658.4899232319442;0.154;92.30000000000001
270;-666.1145416681037;0.074;96.3
275;-661.9556588847439;0.092;95.39999999999999
280;-667.5008359292236;0.078;96.1
285;-675.818601495943;0.072;96.39999999999999
290;-676.5117486265029;0.026;98.7
295;-674.432307234823;0.02;99.0
300;-664.7282474069838;0.088;95.6
