Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 16, 8, 4, 2, 2]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-0.00014919999262711346;0.984;50.8
10;-1034.1756679954365;1.016;49.2
15;-1034.1756679954365;1.016;49.2
20;-1034.1756679954365;1.016;49.2
25;-695.2267211516215;0.038;98.1
30;-630.7640380095462;0.074;96.3
35;-691.0678383682618;0.026;98.7
40;-661.262511754184;0.03;98.5
45;-684.1363670626624;0.012;99.4
50;-664.7282474069837;0.034;98.3
55;-643.2406863596253;0.056;97.2
60;-670.2734244514634;0.02;99.0
65;-692.4541326293818;0.054;97.3
70;-676.5117486265028;0.014;99.3
75;-668.8871301903434;0.022;98.9
80;-698.6924568044213;0.048;97.6
85;-677.8980428876228;0.018;99.1
90;-690.3746912377019;0.024;98.8
95;-683.4432199321025;0.01;99.5
100;-686.2158084543422;0.012;99.4
105;-687.602102715462;0.022;98.9
110;-682.7500728015425;0.008;99.6
115;-666.1145416681036;0.032;98.4
120;-673.7391601042632;0.018;99.1
125;-684.8295141932224;0.008;99.6
130;-700.7718981961011;0.054;97.3
135;-689.6815441071419;0.034;98.3
140;-689.6815441071419;0.022;98.9
145;-694.5335740210617;0.036;98.2
150;-691.0678383682618;0.038;98.1
155;-679.9774842793026;0.018;99.1
160;-675.818601495943;0.012;99.4
165;-670.2734244514634;0.02;99.0
170;-675.818601495943;0.012;99.4
175;-676.5117486265028;0.014;99.3
180;-664.0351002764238;0.026;98.7
185;-678.5911900181827;0.008;99.6
190;-670.9665715820233;0.016;99.2
195;-640.4680978373856;0.06;97.0
200;-664.0351002764238;0.026;98.7
205;-684.1363670626624;0.012;99.4
210;-661.262511754184;0.03;98.5
215;-704.2376338489009;0.064;96.8
220;-669.5802773209034;0.018;99.1
225;-655.7173347097043;0.038;98.1
230;-677.2048957570628;0.016;99.2
235;-678.5911900181827;0.02;99.0
240;-677.8980428876228;0.006;99.7
245;-696.6130154127414;0.042;97.89999999999999
250;-679.9774842793026;0.018;99.1
255;-678.5911900181827;0.014;99.3
260;-675.818601495943;0.018;99.1
265;-684.1363670626624;0.012;99.4
270;-687.602102715462;0.016;99.2
275;-686.2158084543422;0.012;99.4
280;-690.3746912377019;0.03;98.5
285;-682.0569256709825;0.012;99.4
290;-687.602102715462;0.022;98.9
295;-677.8980428876228;0.006;99.7
300;-676.5117486265028;0.014;99.3
