Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 256, 128, 64, 32, 2]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: tanh
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-690.3746912377019;0.042;97.89999999999999
10;-677.2048957570628;0.016;99.2
15;-677.2048957570628;0.016;99.2
20;-684.8295141932224;0.02;99.0
25;-692.4541326293818;0.036;98.2
30;-649.4790105346649;0.05;97.5
35;-704.9307809794608;0.066;96.7
40;-664.0351002764238;0.026;98.7
45;-677.8980428876228;0.018;99.1
50;-674.432307234823;0.014;99.3
55;-558.6767364313115;0.178;91.10000000000001
60;-691.7609854988218;0.034;98.3
65;-615.5148011372273;0.096;95.19999999999999
70;-664.7282474069838;0.034;98.3
75;-668.1939830597835;0.02;99.0
80;-696.6130154127416;0.042;97.89999999999999
85;-679.9774842793026;0.012;99.4
90;-673.7391601042632;0.012;99.4
95;-696.6130154127414;0.102;94.89999999999999
100;-658.4899232319442;0.04;98.0
105;-677.8980428876228;0.018;99.1
110;-673.0460129737031;0.064;96.8
115;-658.4899232319442;0.046;97.7
120;-679.2843371487427;0.01;99.5
125;-673.7391601042632;0.012;99.4
130;-684.1363670626624;0.006;99.7
135;-673.0460129737031;0.028;98.6
140;-693.1472797599417;0.038;98.1
145;-702.851339587781;0.06;97.0
150;-693.1472797599417;0.044;97.8
155;-690.3746912377019;0.036;98.2
160;-671.6597187125833;0.018;99.1
165;-679.2843371487427;0.04;98.0
170;-673.7391601042632;0.018;99.1
175;-692.4541326293818;0.03;98.5
180;-682.0569256709825;0.012;99.4
185;-691.0678383682618;0.026;98.7
190;-641.8543920985055;0.058;97.1
195;-672.3528658431433;0.062;96.89999999999999
200;-661.2625117541841;0.03;98.5
205;-677.8980428876228;0.018;99.1
210;-632.1503322706661;0.072;96.39999999999999
215;-700.0787510655412;0.052;97.39999999999999
220;-669.5802773209034;0.018;99.1
225;-630.0708908789863;0.078;96.1
230;-661.2625117541841;0.036;98.2
235;-672.3528658431433;0.014;99.3
240;-672.3528658431433;0.014;99.3
245;-677.8980428876228;0.018;99.1
250;-684.1363670626624;0.018;99.1
255;-673.7391601042632;0.018;99.1
260;-666.8076887986635;0.022;98.9
265;-679.2843371487427;0.016;99.2
270;-672.3528658431433;0.014;99.3
275;-694.5335740210617;0.048;97.6
280;-684.1363670626624;0.012;99.4
285;-672.3528658431433;0.014;99.3
290;-678.5911900181827;0.02;99.0
295;-679.2843371487427;0.016;99.2
300;-680.6706314098626;0.014;99.3
