Train dataset: data/regression/data.cube.train.100.csv
Test dataset: data/regression/data.cube.test.100.csv
Layers: [1, 2, 1] with biases
Seed: 12020122
Epochs	Loss
2	279.92346500940516
4	56.23521915236242
6	11.824877421390665
8	2.2586876598311854
10	0.39175846791545643
12	0.06376934880997105
14	0.010034647103141921
16	0.001554257655380969
18	0.00023914374723930067
20	3.67070821748047e-05
22	5.631088597842541e-06
24	8.639882031842385e-07
26	1.3261982783419758e-07
28	2.0366571432661755e-08
30	3.1291375331811677e-09
32	4.809558569220991e-10
34	7.394931969106684e-11
36	1.1373338355757604e-11
38	1.7496293573132055e-12
40	2.6921002022320184e-13
42	4.142944720627714e-14
44	6.376583082392086e-15
46	9.815630115490893e-16
48	1.5110946110654762e-16
50	2.3264936603290336e-17
52	3.582147009629495e-18
54	5.515841087853681e-19
56	8.493821678529862e-20
58	1.3080201719937552e-20
60	2.0143874643763908e-21
62	3.102320142897977e-22
64	4.777969316967214e-23
66	7.358878453840502e-24
68	1.1334178665637686e-24
70	1.7457314948133507e-25
72	2.688888468581137e-26
74	4.141667187687385e-27
76	6.379459841611545e-28
78	9.826486324633535e-29
80	1.513622774493024e-29
82	2.331533159092684e-30
84	3.5914484217342937e-31
86	5.532244558656842e-32
88	8.521900448164611e-33
90	1.31272749771757e-33
92	2.022159801992712e-34
94	3.115005963176506e-35
96	4.7984899754693404e-36
98	7.39183740338829e-37
100	1.138681190208513e-37
