Train dataset: data/regression/data.activation.train.1000.csv
Test dataset: data/regression/data.activation.test.1000.csv
Layers: [1, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.03008532246352781;0.03205231172354048
10;0.023839720358767264;inf
15;0.03113599965408314;0.03465987760460937
20;0.04398636637436331;0.03636418861885173
25;0.046181978596113726;0.03654200200396272
30;0.07046442078530264;0.04150015102049296
35;0.5926483965083881;0.07376140625232148
40;0.047401589595986816;inf
45;0.04323278553824836;0.03530812932740988
50;0.03627757402750095;inf
55;0.020594767305163485;0.030148225464481298
60;0.05833311385905853;inf
65;0.06939865518177113;0.04203749620670777
70;0.05355843750228787;0.03768317500635747
75;0.06229491705550973;0.039663742439657194
80;0.0480293315495026;0.03678832365462934
85;0.036510367947933366;0.03376686079891685
90;0.07313450741880617;0.04166888903742554
95;0.032936904585315334;0.03527670123866641
100;0.0975481768169536;0.045891107102571264
105;0.017517248269519226;inf
110;0.03230034684561687;0.03272679166678135
115;0.03642698540554432;0.03366747850210851
120;0.040749198049266785;0.03510257543203556
125;0.015301834786051656;0.03476930533992875
130;0.027158753813978885;inf
135;0.17520345986193092;0.05446651347071016
140;0.03843371318503846;0.03409481747601002
145;0.1001101805539999;0.04617151786796989
150;0.06830049261412842;0.04075334904747045
155;0.03203973378181899;inf
160;0.05116918686444859;0.037139551364217885
165;0.04322767500390538;0.03560074470901323
170;0.07353777147046858;0.04177357955492122
175;0.05317216452765713;inf
180;0.08632220901530979;0.04410446525322417
185;0.11021777720894801;0.04751055192248038
190;0.08841579247005098;0.04446000081236009
195;0.014824289508751153;0.06563829642928794
200;0.04556075266439458;0.03583783552415857
205;0.03745067265615902;0.03417501331820733
210;0.049424275842586685;0.03682442988971106
215;0.04885433394371328;0.03692974348060159
220;0.014294119397316512;0.060382207569277604
225;0.02074679903921232;0.029693132456030936
230;0.02385415456990058;0.03246974453266313
235;0.05242895787378275;0.03745611258338583
240;0.03038628211887109;0.032072585451150125
245;0.035570228660824654;0.033507462602263935
250;0.016656297893895815;0.02972390636103039
255;0.04778295762836451;0.03718402332395134
260;0.021118569954055835;0.029931538458179818
265;0.06121023206733363;0.03977452352971218
270;0.026958454999159838;0.03697059211239562
275;0.019168929435282814;0.030096205638924074
280;0.052266182826044984;0.037488926363499056
285;0.08161309460715999;0.04325216379847421
290;0.08692461905487446;0.04421760363727033
295;0.13815670422946302;0.05094563687097729
300;0.07098797030387465;0.04170614344830938
