Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: tanh
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.027970675311049513;0.033881871901164026
10;0.05723219524684276;0.03921277563967263
15;0.03424019788544397;0.03545507431728723
20;0.02954515686469537;0.03364407202924999
25;0.040501173768917924;0.03554925881484733
30;0.07136247836317669;0.041479837048794516
35;0.027690757817316357;0.03942526943235007
40;0.0804684349759501;0.04328509020350166
45;0.026145953258969637;0.031388023520162116
50;0.11003750377778299;0.04746004127615021
55;0.05130793567038046;0.03786045304508027
60;0.09945756624560649;0.045980457820674864
65;0.11235768626602602;inf
70;0.044038135537298156;0.03607033210143291
75;0.1222037397776595;0.0489907822625389
80;0.027964841392033903;inf
85;0.018474335995446563;inf
90;0.01888453392276335;0.03152789817868496
95;0.05624348809298185;0.039084591243827356
100;0.015900777707261234;0.03413530622774845
105;0.048681319333424386;0.037668585988268624
110;0.02335642357659808;0.030333291951926793
115;0.028662427993792088;0.03206959037214058
120;0.01809100160681138;0.1613499271004967
125;0.04580804552450932;inf
130;0.07962540052307958;0.04316653665054929
135;0.06013873799124392;0.039146358813496485
140;0.02910544934330715;0.03213275586032581
145;0.01557231053571829;0.2683734394409001
150;0.02857676033493089;0.03171826652386143
155;0.04592565613187873;0.03602613604514659
160;0.0687070454661314;0.04082692853897544
165;0.05120153397005997;0.03719100254706035
170;0.015119661126200046;0.03582509692394346
175;0.018960962746612093;0.03256543985549251
180;0.10329684277273771;0.04656416909338675
185;0.3234404095672446;0.06461407491089602
190;0.05857741910207422;inf
195;0.030491545251522402;0.032221383181190257
200;0.085345185622739;inf
205;0.05387448171413658;0.03775670665920878
210;0.09081619882828455;0.04482564093244467
215;0.014603115155214653;0.09250524077263934
220;0.03485240043100923;0.0333228533346962
225;0.014501845472994372;0.03692327966874418
230;0.0437838562601971;inf
235;0.01732235318579203;inf
240;0.03098877564270873;0.032876735594121034
245;0.04654750690300317;0.03682370167622472
250;0.04404628846403304;0.036002287245836734
255;0.030899166242632763;0.0322629177710025
260;0.01517672990973;0.03131719545977073
265;0.07379680885394596;0.04182113152297327
270;0.04055503869869441;0.03465626742496698
275;0.0176353545609564;0.030227043106667097
280;0.044209277231839844;0.03556398555060453
285;0.034734287841919766;0.033423515227687495
290;0.05503489020914727;0.03800371291527519
295;0.05569104561741079;0.0385061751958434
300;0.05675816816210199;0.03878959328234526
