Train dataset: data/regression/data.cube.train.1000.csv
Test dataset: data/regression/data.cube.test.1000.csv
Layers: [1, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: tanh
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.02733195384003282;inf
10;0.03232717212296584;inf
15;0.034473029605773385;inf
20;0.03571922264229215;inf
25;0.029987649599785143;inf
30;0.028244654710805308;inf
35;0.02778206929031207;inf
40;0.03242341576202006;inf
45;0.03279730588509538;inf
50;0.03537277340618308;inf
55;0.03273610441197448;inf
60;0.03561398823201644;inf
65;0.03665295917961075;inf
70;0.03673049411114491;inf
75;0.034646563879118075;inf
80;0.03455720876733711;inf
85;0.029229052038926406;inf
90;0.030514005440931878;inf
95;0.028823999827911322;inf
100;0.026184248277809435;inf
105;0.03024189286193178;inf
110;0.03226308559824255;inf
115;0.029822156007315585;inf
120;0.034979986380768796;inf
125;0.027076297024214935;inf
130;0.02977159459305021;inf
135;0.027242450403722515;inf
140;0.03803582588676671;inf
145;0.028263374807416954;inf
150;0.031296465310326683;inf
155;0.025310445961345285;inf
160;0.031573931440337454;inf
165;0.03174252717869381;inf
170;0.02557475482216441;inf
175;0.034300947609348216;inf
180;0.024378927643130783;inf
185;0.03386972042449522;inf
190;0.030060138244376918;inf
195;0.03373798763394791;inf
200;0.026774459813781844;inf
205;0.02158563860416132;inf
210;0.027343241899852336;inf
215;0.03452661635822754;inf
220;0.03334450224002493;inf
225;0.04116767584381263;inf
230;0.02187087016686759;inf
235;0.030555325979804163;inf
240;0.03955276212368493;inf
245;0.03568372321249887;inf
250;0.029877903846221857;inf
255;0.035011919320737314;inf
260;0.03459017065896746;inf
265;0.031769829340711556;inf
270;0.03408636592804025;inf
275;0.0390057349107968;inf
280;0.034698623138782345;inf
285;0.027746019989390348;inf
290;0.03094618199194138;inf
295;0.029828008788659377;inf
300;0.03307486024366934;inf
