Train dataset: data/regression/data.cube.train.100.csv
Test dataset: data/regression/data.cube.test.100.csv
Layers: [1, 2, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.054865173911562745;inf
10;0.0455933294995333;inf
15;0.037766962097960925;inf
20;0.032012431581603766;inf
25;0.028844609570899897;inf
30;0.025672672560263298;inf
35;0.024259608153006654;inf
40;0.02282755143928188;inf
45;0.021868857992929373;inf
50;0.0209517353749766;inf
55;0.020689286699780294;inf
60;0.02008381230002558;inf
65;0.019623459833794734;inf
70;0.019744035299285527;inf
75;0.019334648346444244;inf
80;0.019164425920741333;inf
85;0.019156627304793433;inf
90;0.019128112040780132;inf
95;0.018943130173710968;inf
100;0.019090995305500878;inf
105;0.01891156446613561;inf
110;0.018701319760155287;inf
115;0.018809502296527628;inf
120;0.018921931744157332;inf
125;0.018877147277176803;inf
130;0.019000409061920586;inf
135;0.019003490054363664;inf
140;0.01860414921819838;inf
145;0.019110908028020415;inf
150;0.018956197469603555;inf
155;0.01919387860780863;inf
160;0.0189543640598247;inf
165;0.018881266232939488;inf
170;0.01888746511771522;inf
175;0.01906557354448162;inf
180;0.018926981438615258;inf
185;0.019034437674411663;inf
190;0.019123885116817566;inf
195;0.019157114408586445;inf
200;0.019293112546366637;inf
205;0.01904715523093348;inf
210;0.01929514067661466;inf
215;0.019031734039524323;inf
220;0.019179479869275963;inf
225;0.019230640419978143;inf
230;0.019063683842072805;inf
235;0.01908739827797228;inf
240;0.019054712752057064;inf
245;0.018913313556880113;inf
250;0.01931334924719591;inf
255;0.01923246232675099;inf
260;0.019072829213658497;inf
265;0.019112408297346287;inf
270;0.01922352983242809;inf
275;0.019224698220588577;inf
280;0.019336764910398617;inf
285;0.019648210286003675;inf
290;0.01929752438984295;inf
295;0.01928977546978362;inf
300;0.019400471771592084;inf
