Train dataset: data/regression/data.activation.train.1000.csv
Test dataset: data/regression/data.activation.test.1000.csv
Layers: [1, 2, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: tanh
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.028943403812508105;inf
10;0.02456360042718469;inf
15;0.024976610432109123;inf
20;0.018067150602157116;inf
25;0.016642639850231126;inf
30;0.017910642362276987;inf
35;0.016778204354232284;inf
40;0.015206752619861636;inf
45;0.014923941799173987;inf
50;0.014516068932908292;0.2695762205045257
55;0.014274524389758953;0.2089089146381994
60;0.03147736185260053;0.052894368493322436
65;0.017053706311121037;0.0442507885482671
70;0.006578533924356936;0.04716215129922169
75;0.0007503808655386537;0.04677169703212887
80;3.589226236846218e-05;0.031874249540049665
85;1.1876933607408397e-06;0.012753193568262808
90;4.093821709969335e-08;0.003613347030280767
95;2.243958717326813e-09;0.0007494580587239488
100;1.0634303127271111e-10;inf
105;3.4219132936217516e-10;0.0004979438348623017
110;9.170702472585124e-10;0.0005702446312027414
115;7.652213217087482e-10;inf
120;2.21201969495882e-10;inf
125;5.309979446281286e-10;inf
130;1.7769549326670368e-10;0.00040376271737223133
135;3.1355960354264605e-10;0.0004844390732817764
140;2.3916369714510913e-10;inf
145;8.497858778686369e-10;inf
150;1.6305182596705588e-10;0.00043103484149102807
155;1.21249216196249e-09;0.0005523789173228477
160;1.7486061518330206e-10;0.00040391685800449854
165;2.826717165148358e-10;0.00042162573365487363
170;4.455235813655719e-09;inf
175;1.8048866012804887e-10;inf
180;4.856143667634129e-10;inf
185;3.1234741636960753e-10;0.000429591614395456
190;7.755924015563401e-10;0.0004006479981227476
195;1.842778252419639e-09;inf
200;1.1715839364177279e-09;inf
205;2.6943644369822884e-10;0.00042270827507837766
210;2.8997652832265573e-10;inf
215;1.3315488002189835e-09;inf
220;1.111258817688469e-09;0.0006877135792828935
225;1.4546651000639514e-09;inf
230;1.476396577512715e-10;inf
235;2.1982402802821887e-10;inf
240;1.1120586947541727e-10;inf
245;1.0604754746062075e-09;0.00047396516196636905
250;1.7475002005893313e-10;inf
255;4.41904906196821e-10;0.00042199716928769754
260;1.7644270226784243e-09;inf
265;1.1474779536552468e-09;inf
270;5.066444365011653e-11;0.0004070565803329987
275;3.4522072344866404e-11;0.0004000662224021974
280;1.1661165728013428e-09;inf
285;2.8283002418991287e-10;inf
290;2.537597439176946e-10;inf
295;8.443190718208508e-11;0.0004319910263204834
300;5.632182431705903e-10;0.00041390244560016474
