Train dataset: data/regression/data.cube.train.100.csv
Test dataset: data/regression/data.cube.test.100.csv
Layers: [1, 2, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: tanh
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.038693909375309046;inf
10;0.04108446722980421;inf
15;0.04271567814603791;inf
20;0.048786741706199496;inf
25;0.04406663609835651;inf
30;0.04912575205221362;inf
35;0.049201084475303164;inf
40;0.04905067380732675;inf
45;0.050985259191178994;inf
50;0.05244241426296996;inf
55;0.05274496402839807;inf
60;0.05394554789260724;inf
65;0.0539677028742461;inf
70;0.05254792463447576;inf
75;0.052250550931228906;inf
80;0.05258475976009482;inf
85;0.05342836570618393;inf
90;0.05431878934891547;inf
95;0.05314827126172904;inf
100;0.051241831130340865;inf
105;0.0519451405582074;inf
110;0.05190637652417258;inf
115;0.051828743560647365;inf
120;0.048814451278641056;inf
125;0.05008713540808182;inf
130;0.04704801450864476;inf
135;0.04580960031072383;inf
140;0.04654969168109739;inf
145;0.04437504030640459;inf
150;0.045177199038078215;inf
155;0.043740987082290614;inf
160;0.04310213455303618;inf
165;0.04112010991479649;inf
170;0.04039920249254807;inf
175;0.04027931509094283;inf
180;0.039584259654699194;inf
185;0.03834035470973487;inf
190;0.03706157649944812;inf
195;0.035772255164540724;inf
200;0.03384274313991348;inf
205;0.035041179116686666;inf
210;0.034376704822874325;inf
215;0.03312386208036702;inf
220;0.03156477559223386;inf
225;0.03181431154197236;inf
230;0.031205217929992948;inf
235;0.029784677649220263;inf
240;0.029637685043356357;inf
245;0.028030678310129738;inf
250;0.027578581144288808;inf
255;0.026960162846640698;inf
260;0.026902698477889463;inf
265;0.02522210843257686;inf
270;0.026180642086901094;inf
275;0.02476095066318884;inf
280;0.02386108622998761;inf
285;0.02248491688839413;inf
290;0.023091781140442934;inf
295;0.022963727019226297;inf
300;0.02187348721506873;inf
