Train dataset: data/regression/data.activation.train.1000.csv
Test dataset: data/regression/data.activation.test.1000.csv
Layers: [1, 32, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.000716234212819803;0.037379337526928055
10;0.0006923965409867851;0.04417950839924699
15;0.00038999421113417157;0.04122381021067309
20;0.0002888124332013006;0.04151572557018253
25;0.0003775332817210649;0.04580185035108678
30;0.00027016370382531625;0.044188470659309254
35;0.00026657816843230327;0.044879547145309076
40;0.0002799585621806348;0.04565028352886257
45;0.00025331952847305;0.044771822980163405
50;0.00020742778824104654;0.04333832205796435
55;0.0002461031721349255;0.04528833195273646
60;0.00021563180719390285;0.04441547234001141
65;0.00022172688779779803;0.044690074744754296
70;0.0002041805905803985;0.04387080927626961
75;0.0002277037456579438;0.04475124296942382
80;0.00022667465259178728;0.044779086442853645
85;0.00017938483713674926;0.0423075736305069
90;0.000247839197068698;0.04530248476786298
95;0.0002374558294332134;0.04499035396389317
100;0.0002456609322108704;0.045541660700535565
105;0.0001931849563906355;0.04335998932527486
110;0.00021294527601869214;0.04370718052468301
115;0.00021632960518106468;0.043969702867497955
120;0.00019602611069029506;0.04306832874055795
125;0.00019676414541709407;0.043332690923151604
130;0.00017980398665033652;0.04266318797456884
135;0.00018620257227215886;0.042878401928552905
140;0.0001533087626642224;0.0410156010281513
145;0.0002020377609815627;0.043579533508702646
150;0.00016255569412581397;0.04170322281913117
155;0.00013172152297664838;0.039630259952558713
160;0.0001888937931237082;0.04295160817667815
165;0.00015967486902630928;0.04142813389560527
170;0.00014822744256942877;0.0408319450050726
175;0.00016502189241576043;0.041741688228025695
180;0.00013346458039235456;0.039904583774592745
185;0.00016169122800311752;0.041689853711404996
190;0.00016421811354575891;0.041860626943770046
195;0.0001824298611379531;0.04252429278550114
200;0.00015496798174502384;0.041065449289741665
205;0.0001674709130862713;0.04196381348983587
210;0.00017211022055368713;0.04190704971030156
215;0.00012881225880729278;0.03973876824677696
220;0.00016977088920601903;0.04192178310915659
225;0.00013574765464703458;0.04010142430818144
230;0.00012421993796147036;0.03896194973139952
235;0.00012824323183680962;0.03947853931801429
240;0.00011851700438291503;0.0387310213921519
245;0.00015700265247633094;0.041237161968764376
250;0.00013268295610097158;0.03955713105544753
255;0.00010150371098962548;0.0373627415973195
260;9.853785589853664e-05;0.03707158903161719
265;0.00013998088918639525;0.0402934762522778
270;0.00013395917738118676;0.04000894373706615
275;0.000149444897219138;0.04082171189467835
280;0.0001435502961334977;0.04060906756145827
285;0.00012265571132830667;0.03912305849162045
290;0.0001155483924258305;0.03857173444931962
295;0.00011929927138655147;0.03865663077649146
300;0.00013790933588346874;0.0400813059179788
