Train dataset: data/regression/data.cube.train.1000.csv
Test dataset: data/regression/data.cube.test.1000.csv
Layers: [1, 16, 8, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.03617431025669596;inf
10;0.035902839343575424;inf
15;0.03611473863963178;inf
20;0.03633992170277564;inf
25;0.03411028201266154;inf
30;0.03494217395672654;inf
35;0.033661848092500446;inf
40;0.03407058037145759;inf
45;0.03483291821634039;inf
50;0.033651482065853694;inf
55;0.032526796552467756;inf
60;0.03268286827459761;inf
65;0.031894549658185306;inf
70;0.030979829063263627;inf
75;0.030203679532697793;inf
80;0.029020003048895744;inf
85;0.02780058810674003;inf
90;0.02798313286351571;inf
95;0.026820484430281545;inf
100;0.026833595301427732;inf
105;0.02542326361982753;inf
110;0.023590659671464464;inf
115;0.023203265187466383;inf
120;0.023323281169002737;inf
125;0.023515105719597654;inf
130;0.02175142488201514;inf
135;0.021881615511460135;inf
140;0.020395760351688486;inf
145;0.01998799729732583;inf
150;0.019487807475515068;inf
155;0.019402347512175885;inf
160;0.018831146652720517;inf
165;0.018250945310245348;inf
170;0.017763673558965586;inf
175;0.01765780986322121;inf
180;0.017513269754826193;inf
185;0.017761742661919912;inf
190;0.016993508441882473;inf
195;0.01712014818506407;inf
200;0.017506714549920758;inf
205;0.017326537772697007;inf
210;0.01700709433050338;inf
215;0.016593959846940235;inf
220;0.016735310063539625;inf
225;0.016425669332741456;inf
230;0.016421338517281413;inf
235;0.01674654367636603;inf
240;0.0162703421757814;inf
245;0.01647508627571382;inf
250;0.016107863739278507;inf
255;0.016533943202543824;inf
260;0.016495361905043044;inf
265;0.016545979068085397;inf
270;0.01631061974911813;inf
275;0.016065671661513112;inf
280;0.01638500396771657;inf
285;0.016109494686774577;inf
290;0.01628201366987739;inf
295;0.016294980593764895;inf
300;0.016260797394805727;inf
