Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 4, 2, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: indentity
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.4490459098915705;0.07051564288139806
10;0.21763872622529618;0.0944734348313822
15;0.398631702815411;0.07071764951383107
20;0.3065740962604451;0.0725188339276821
25;0.4192846776710159;0.07059895570764255
30;0.44554756323135897;0.07052102804344539
35;0.35518395429972754;0.0712168057147025
40;0.2907922503628854;0.07326814651338077
45;0.36684840433173427;0.0710404751315554
50;0.3654264493469412;0.07106001882351103
55;0.3470980560203299;0.07136270767069074
60;0.321974607378104;0.07197717881012364
65;0.2623307522973887;0.0754811629724315
70;0.3159919308397639;0.0721694026273347
75;0.3783178705146759;0.07090040527501468
80;0.28194228665218013;0.07380791677226729
85;0.32348793452359953;0.0719317983039998
90;0.30738372488523563;0.07248629243937381
95;0.2823998895108283;0.07377739693567793
100;0.3878673560523416;0.07080512156240033
105;0.26303650114412613;0.07540542708109946
110;0.22818579437536807;0.0827741809518832
115;0.4219020237270577;0.07058787879143741
120;0.274904805098204;0.07431934253742128
125;0.3032459764442072;0.07265804503330187
130;0.6235176068890366;0.0710169367202291
135;0.40280649545091984;0.07068879427662711
140;0.5165987203465837;0.07057267234030118
145;0.3968132407302673;0.07073106806257287
150;0.49549698257058034;0.0705275530491459
155;0.35791416762962047;0.07117213072976732
160;0.22442689450546185;0.08479348164212219
165;0.33916447489273077;0.07152785124949095
170;0.26600500355237733;0.07510214901121648
175;0.3622620994071287;0.07110538222766115
180;0.24037032691290697;0.07891019789633612
185;0.22833755337928044;0.08270567108438175
190;0.2914046921409386;0.07323440726281115
195;0.4392701104090261;0.07053340205529685
200;0.2567366335021574;0.07613773479495897
205;0.4696845414103424;0.070503474149012
210;0.23989632923773357;0.07901917745499855
215;0.26543143907095046;0.07515890137090166
220;0.42640491296737804;0.0705706727501563
225;0.2229356346189968;0.08584059331415085
230;0.25650949962180347;0.0761667143484672
235;0.3270876764820609;0.07182872853871528
240;0.3079357371093808;0.07246439178019468
245;0.2840588561786427;0.07366929678938715
250;0.35396106085592105;0.07123753875766507
255;0.2715425843320033;0.07459504672155787
260;0.24052146966697502;0.07887591956657611
265;0.4438659336894489;0.0705239945006609
270;0.22916060209715494;0.0823475491587962
275;0.2791409249580529;0.07400170950046767
280;0.296565147660796;0.07296634510270929
285;0.3728429176092781;0.07096351368538407
290;0.314447784273246;0.07222255524011463
295;0.26295458497329804;0.07541414316939266
300;0.23607048490021143;0.07999146960292171
