Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 4, 2, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.017131998111998534;inf
10;0.004295824334748087;inf
15;0.0034904399215859323;inf
20;0.0030901410858185556;inf
25;0.0031211593635955084;inf
30;0.002826506236386521;inf
35;0.0028306120128544577;inf
40;0.0027112984285908703;inf
45;0.0026859589359917637;inf
50;0.0024762453735847983;inf
55;0.0024367122033028335;inf
60;0.0023702783251561615;inf
65;0.0022913339272008703;inf
70;0.002224383343830541;inf
75;0.0023418867579659106;inf
80;0.002170726367544118;inf
85;0.0021289887686399144;inf
90;0.0021856768923597565;inf
95;0.001984496667431434;inf
100;0.0019856026174382333;inf
105;0.0018847985788964785;inf
110;0.0018319159220578096;inf
115;0.0019365534925554356;inf
120;0.0017848149126044228;inf
125;0.00178733369140016;inf
130;0.0017016911414595229;inf
135;0.0016825994416740481;inf
140;0.0017049611621225776;inf
145;0.0016400005980805865;inf
150;0.0015982338347759475;inf
155;0.0015408831318488236;inf
160;0.001546084827959808;inf
165;0.0015444958538330395;inf
170;0.0014603786929325484;inf
175;0.0014504963303669483;inf
180;0.0014501112627868088;inf
185;0.0013718553377686446;inf
190;0.001364417005821079;inf
195;0.0013779989449621193;inf
200;0.0013488078901996788;inf
205;0.0012877079120451188;inf
210;0.0012339405238000964;inf
215;0.0012204819025174566;inf
220;0.0012083565415962432;inf
225;0.0011219861992680044;inf
230;0.0011803048844581576;inf
235;0.0011589679892684381;inf
240;0.001111843569481666;inf
245;0.0010451956117026174;inf
250;0.0010558306564342915;inf
255;0.0009860075788177627;inf
260;0.0010257535034946118;inf
265;0.001030020873338994;inf
270;0.000935575641848722;inf
275;0.0009382122925309076;inf
280;0.0009115452135975255;inf
285;0.000912335824927962;inf
290;0.0008547449960305013;inf
295;0.0008585395071120867;inf
300;0.0008531132203881623;inf
