Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 8, 4, 2, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.21221267508386382;inf
10;0.15353912724779972;inf
15;0.13591987500929062;inf
20;0.04564022730608077;inf
25;0.011499599288007948;inf
30;0.005962157352201337;inf
35;0.005512774782284615;inf
40;0.00504954916623727;inf
45;0.005259374663918527;inf
50;0.004151117022357322;inf
55;0.0040735700461603614;inf
60;0.0040174409241850876;inf
65;0.0037460315266981724;inf
70;0.003597303501106395;inf
75;0.003967551118942702;inf
80;0.003538526913183239;inf
85;0.0032984818324578754;inf
90;0.0037169957963182616;inf
95;0.002953969753607221;inf
100;0.002948261244287137;inf
105;0.0027442444911855352;inf
110;0.002533753921464469;inf
115;0.0028515463552887138;inf
120;0.002446070309287515;inf
125;0.002516118471844997;inf
130;0.0022993525514738845;inf
135;0.0022161061848817894;inf
140;0.0023533191838706574;inf
145;0.0021542463357808435;inf
150;0.0020693118719847426;inf
155;0.0019685170316066525;inf
160;0.0019598637149826777;inf
165;0.0020193687200812348;inf
170;0.0018247976999925827;inf
175;0.0018185766130121286;inf
180;0.0018073084380031577;inf
185;0.0016287832889671386;inf
190;0.0016226675446236551;inf
195;0.0016816547302238153;inf
200;0.0015691146634405709;inf
205;0.001444439557272606;inf
210;0.0013611214987419927;inf
215;0.001360844033630836;inf
220;0.0013376736128000643;inf
225;0.0011619926736205523;inf
230;0.0013024168482018476;inf
235;0.0012542525362966644;inf
240;0.0011795410746171051;inf
245;0.0010563007556814935;inf
250;0.0010582679371489985;inf
255;0.0009399812759284169;inf
260;0.001030412731717429;inf
265;0.001039224497598339;inf
270;0.000860448806130849;inf
275;0.000869058739043757;inf
280;0.0008629132730905165;inf
285;0.0008324066062918165;inf
290;0.0007490533194192568;inf
295;0.0007450318113945037;inf
300;0.0007730637362704506;inf
