Train dataset: data/regression/data.cube.train.100.csv
Test dataset: data/regression/data.cube.test.100.csv
Layers: [1, 8, 4, 2, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: indentity
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.026700291781405393;inf
10;0.027708537478072393;inf
15;0.03116565124695239;inf
20;0.029977200893922997;inf
25;0.03570853599324295;inf
30;0.026895225951258574;inf
35;0.027361223016396888;inf
40;0.03408102095324059;inf
45;0.030111109455115432;inf
50;0.025656818980426942;inf
55;0.030162469147486996;inf
60;0.030761727580271524;inf
65;0.031929697545164566;inf
70;0.03325822970189727;inf
75;0.031134503406778296;inf
80;0.032210639204882645;inf
85;0.030332476310624704;inf
90;0.026104141967070407;inf
95;0.03351759296203159;inf
100;0.03188028686629672;inf
105;0.035278394160914224;inf
110;0.029132718972015702;inf
115;0.02936903843849796;inf
120;0.03329741948991118;inf
125;0.027551686866708103;inf
130;0.030068135504223516;inf
135;0.03049351854949845;inf
140;0.030301981824337246;inf
145;0.030838887544549876;inf
150;0.02973986936141853;inf
155;0.030666277396390752;inf
160;0.033871187451907966;inf
165;0.025801108878619073;inf
170;0.0321359979458592;inf
175;0.03082354543619414;inf
180;0.030869735578041606;inf
185;0.03227933035092694;inf
190;0.03066551291459306;inf
195;0.02962761662845282;inf
200;0.02949171895496456;inf
205;0.031033229551573675;inf
210;0.033286363103215;inf
215;0.032633094474126816;inf
220;0.03405099198463766;inf
225;0.03022460241356609;inf
230;0.0313828475683607;inf
235;0.028517696964766102;inf
240;0.0272953670315407;inf
245;0.028117505911364058;inf
250;0.02941587035472506;inf
255;0.02983835823851576;inf
260;0.02955648577741697;inf
265;0.029666247502867157;inf
270;0.03201744474463843;inf
275;0.030365663097204686;inf
280;0.03199959215795138;inf
285;0.03206289533581316;inf
290;0.03226910462437607;inf
295;0.03203139304635752;inf
300;0.03424365554216698;inf
