Train dataset: data/regression/data.activation.train.1000.csv
Test dataset: data/regression/data.activation.test.1000.csv
Layers: [1, 128, 64, 32, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.0004594451861370273;inf
10;0.0002211630452898517;inf
15;0.0003802115809613216;inf
20;0.00012051294343677194;0.014940324581509947
25;0.0001863739187269001;inf
30;0.0002499425318105972;inf
35;0.00011033437018885076;0.013577842159054606
40;0.00016595661548773308;inf
45;7.0260898062604e-05;0.011368097819485229
50;6.20941148599438e-05;0.010385349338333998
55;6.033982650483512e-05;0.01148458503776339
60;8.957829855336745e-05;0.010863978247330628
65;0.00013414882026079714;0.012715373835379904
70;0.00011440095155106939;0.010753754577092454
75;5.6856730014920285e-05;0.016371646797518728
80;9.9057441098696e-05;0.0106118792280893
85;6.790818961517213e-05;0.01129460091054699
90;5.793404666138366e-05;0.011399085540799526
95;3.637029584372667e-05;0.014408225146314547
100;3.474202015197883e-05;0.012900464562550921
105;3.242708945223527e-05;0.014327257312459775
110;3.913196245635478e-05;0.013752058501399158
115;2.831220849837392e-05;0.014981723580844727
120;5.019426631531158e-05;0.010872454509192015
125;3.793065108396431e-05;0.012446400801920209
130;2.638478847247431e-05;0.014800948320708825
135;2.196495397262966e-05;0.014263617606829416
140;2.3606382074153176e-05;0.013973866118401321
145;1.8151582537445693e-05;0.014080924768938874
150;2.013694066207219e-05;0.01355896163555664
155;1.8691439665224537e-05;0.015490771169449049
160;1.8436478115949214e-05;0.015764620762719415
165;2.7522920685360712e-05;0.011343463801224547
170;1.3868841349534565e-05;0.013287603924969502
175;1.811963666104325e-05;0.016830086294968395
180;2.2789628135241156e-05;0.010913594919539086
185;1.6451710621753477e-05;0.014022313130132724
190;1.3014927471795575e-05;0.0130137297305808
195;1.0617501794227518e-05;0.012587764323572115
200;1.1275682271862657e-05;0.013299549060320834
205;1.7337761617320324e-05;0.011395466980880991
210;9.361632361560018e-06;0.013249684176299844
215;1.1543296209078466e-05;0.013522310401571303
220;8.444779697701427e-06;0.013652220403836159
225;8.364032344292155e-06;0.012821207385161487
230;1.0998757635945265e-05;0.012294665874906477
235;1.2182001001230479e-05;0.01103273980824696
240;7.052770775961063e-06;0.012783585072394476
245;7.317562841550122e-06;0.012778165899535796
250;6.910841527723033e-06;0.01346186333971782
255;7.296857133055283e-06;0.014546795521560149
260;6.991853670049405e-06;0.014595069272905815
265;8.921300764601378e-06;0.010478235747288428
270;5.31704209557772e-06;0.013219060565096
275;7.314328540662612e-06;0.012240785036812196
280;5.019036810697717e-06;0.013114280645294834
285;4.7471533442323795e-06;0.012939914276079536
290;7.356986236803586e-06;0.015431885460064304
295;5.299475156923642e-06;0.013209351590582348
300;4.713777063615449e-06;0.012892813540561845
