Train dataset: data/regression/data.cube.train.100.csv
Test dataset: data/regression/data.cube.test.100.csv
Layers: [1, 128, 64, 32, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.03289196325952252;inf
10;0.032918545117978606;inf
15;0.03541814946519505;inf
20;0.03432245251338689;inf
25;0.0338532785418496;inf
30;0.03407509314216734;inf
35;0.035445846095437036;inf
40;0.035621480608362975;inf
45;0.03428781674727611;inf
50;0.03338263858910884;inf
55;0.03340404724063274;inf
60;0.03222798782288296;inf
65;0.033797850360252325;inf
70;0.03664196424204062;inf
75;0.03213059775734584;inf
80;0.03245107263015749;inf
85;0.03237846730708872;inf
90;0.030810966438712426;inf
95;0.0322192311744824;inf
100;0.03302450443817556;inf
105;0.03610738758300965;inf
110;0.032112296017280835;inf
115;0.03311240479424212;inf
120;0.03309089417053427;inf
125;0.03245822437839394;inf
130;0.032145139049626174;inf
135;0.03316212369626028;inf
140;0.03231523385672049;inf
145;0.03270219752080224;inf
150;0.03516991492473567;inf
155;0.03487916180693064;inf
160;0.03250204896394662;inf
165;0.030448008014658235;inf
170;0.03127064506064152;inf
175;0.032470629932404925;inf
180;0.03289760365999534;inf
185;0.03350024198289665;inf
190;0.03180233778530743;inf
195;0.03312717190815035;inf
200;0.037031722003075314;inf
205;0.031138562261461177;inf
210;0.031908098679195564;inf
215;0.03367122035192159;inf
220;0.03203852167195635;inf
225;0.03384902973724781;inf
230;0.031249329662052277;inf
235;0.030171459380461514;inf
240;0.030069395950784193;inf
245;0.03271829580700758;inf
250;0.03231187602571855;inf
255;0.03137006569953837;inf
260;0.034120228017783485;inf
265;0.029536615386308158;inf
270;0.033447065533461245;inf
275;0.0312690778777683;inf
280;0.032511000148598104;inf
285;0.03653102252690554;inf
290;0.03037613901111367;inf
295;0.030341675132291808;inf
300;0.030253641336235985;inf
