Train dataset: data/regression/data.cube.train.100.csv
Test dataset: data/regression/data.cube.test.100.csv
Layers: [1, 16, 8, 4, 2, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: indentity
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.35154829004201466;0.21209647202571255
10;0.3495001493852747;0.3472624501958844
15;0.3776280674274775;0.16868236211255783
20;0.35851722674595493;0.4509899485112512
25;0.4351856369495255;0.14077822992479752
30;0.3578999541049032;0.19467929444796808
35;0.39128117625238124;0.1587694001141876
40;0.4131319224108474;0.1481197344996492
45;0.39678772519173994;0.15562626817656755
50;0.3610068317717019;0.18879074904525822
55;0.4680126068741003;0.13318205874127803
60;0.378747161099953;0.16772087119203585
65;0.6887041758431041;0.11352011536848612
70;0.3892063730046647;0.16006004149724737
75;0.42064521840256575;0.14533547723277107
80;0.5215676469625019;0.12521758729712135
85;0.46748374671736476;0.1332830519244776
90;0.35012222567726364;0.21793963269885686
95;0.5044337515482795;0.12736103732872797
100;0.46338775662560927;0.13408498673890765
105;0.6931314314582425;0.1133360985328675
110;0.4110197261538763;0.14896737389891826
115;0.3584374579648594;0.19357624553055677
120;0.44937796705914984;0.1371239760916364
125;0.34563468184365187;0.2669988686075847
130;0.4374296275778375;0.14015469222324228
135;0.46127560592286443;0.1345127312907018
140;0.35515071860347713;0.20103988806373804
145;0.40000361660044986;0.153955728371545
150;0.3785809851958454;0.16786158120719022
155;0.3864041373470824;0.1619096276804073
160;0.46415120196571136;0.13393280327428125
165;0.3457989377767581;0.28302310009420406
170;0.4804977469779875;0.13095190138837776
175;0.4015599988428632;0.15318574956653772
180;0.5531121152373141;0.12195382338501119
185;0.47787103442647455;0.13139790735810092
190;0.42739553911536327;0.1430994252750751
195;0.389126161283819;0.1601112317041614
200;0.39730823782543784;0.15534823338432888
205;0.4026503623853395;0.15266029245400622
210;0.489491048094332;0.12950842201299131
215;0.4231547917452231;0.14447735059842812
220;0.47914577084529947;0.13118000924554005
225;0.35626389469749464;0.1983036267917248
230;0.4392869892360353;0.1396525271214094
235;0.34663834988156067;0.2421311411289626
240;0.34945816238157024;0.2211299137202145
245;0.40345819072391476;0.15227813084932934
250;0.544758386983124;0.12274507147511879
255;0.38933490289424943;0.15997822157026217
260;0.5249323049777213;0.1248308357203652
265;0.36777478149583676;0.17891740894531175
270;0.38282515658040306;0.16447358280271338
275;0.36818019676206987;0.17841750659343636
280;0.395810461690693;0.1561566723006222
285;0.38342079913223354;0.16402973196925127
290;0.3909642478132102;0.1589624816280469
295;0.3963808413032033;0.15584575600901113
300;0.47860802550756615;0.13127159180732773
