Train dataset: data/regression/data.cube.train.1000.csv
Test dataset: data/regression/data.cube.test.1000.csv
Layers: [1, 16, 8, 4, 2, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.04148524818232355;inf
10;0.03846839061487792;inf
15;0.03592556426195082;inf
20;0.03441441375002425;inf
25;0.033482434524652424;inf
30;0.03394459380599703;inf
35;0.0329596832207072;inf
40;0.033371463413815056;inf
45;0.033613096164390704;inf
50;0.03347371344977137;inf
55;0.03309833143785788;inf
60;0.03337660287594613;inf
65;0.03342932198759685;inf
70;0.03314800617498888;inf
75;0.03284926616991651;inf
80;0.032634958299080294;inf
85;0.03247487136545011;inf
90;0.03283464534348695;inf
95;0.032299919403718236;inf
100;0.032870764506117464;inf
105;0.03264269787890968;inf
110;0.03194535406342404;inf
115;0.03214623439161201;inf
120;0.03298832906782681;inf
125;0.03290069734283675;inf
130;0.0325376270284951;inf
135;0.03348431250799568;inf
140;0.032337250935054046;inf
145;0.03215202091699533;inf
150;0.03244908947029608;inf
155;0.032129826900000685;inf
160;0.03199898535717153;inf
165;0.03265384435042925;inf
170;0.03216956283841549;inf
175;0.03194457216872001;inf
180;0.03201803067297539;inf
185;0.032076011419892136;inf
190;0.03178481572679738;inf
195;0.03142245494799988;inf
200;0.03141619038883067;inf
205;0.03177585796932407;inf
210;0.03185290274244091;inf
215;0.031271303334953496;inf
220;0.03201050111582608;inf
225;0.03151165204432202;inf
230;0.03160568210109699;inf
235;0.031179029183359887;inf
240;0.03151472498073723;inf
245;0.031225871669972285;inf
250;0.030822354882934645;inf
255;0.03161716800676958;inf
260;0.030827528291506902;inf
265;0.030699149189644868;inf
270;0.031266625450913355;inf
275;0.0308170875717446;inf
280;0.03075610726546904;inf
285;0.03098599628223655;inf
290;0.0304091103788215;inf
295;0.030653528692194076;inf
300;0.030367654233923527;inf
