Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 16, 8, 4, 2, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: tanh
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.0011745728093212348;inf
10;0.00044888465922301963;inf
15;0.00034548874573947773;inf
20;0.0002586272663979808;inf
25;0.00022196957443859877;inf
30;0.00018626147594820686;inf
35;0.0002537257788020719;inf
40;0.00022577333623083337;inf
45;0.00016520454138558468;inf
50;0.0001606194071472133;inf
55;0.00019215786908730514;inf
60;0.0001808145494045696;inf
65;0.00017403576188942238;inf
70;0.00014307117417333655;inf
75;0.00016848113458001415;inf
80;0.00017645253403861472;inf
85;0.00014492602274109332;inf
90;0.00010764086475504599;inf
95;0.0001177478220023498;inf
100;0.00012651428101188592;inf
105;0.0001211957497101059;inf
110;8.374014584625828e-05;inf
115;0.00011184565438870887;inf
120;8.58518324200071e-05;inf
125;0.00010295430016672399;inf
130;6.881425502885733e-05;inf
135;7.892370064680593e-05;inf
140;8.751314633032163e-05;inf
145;7.528929674610907e-05;inf
150;6.814731639746684e-05;inf
155;5.9320307800745525e-05;inf
160;7.38486715934185e-05;inf
165;7.679168533872025e-05;inf
170;7.414160657340989e-05;inf
175;6.330102215532084e-05;inf
180;5.6232917257356475e-05;inf
185;7.117631359049484e-05;inf
190;4.9063251886378516e-05;inf
195;5.432716375022306e-05;inf
200;5.531642984993814e-05;inf
205;4.706118365049808e-05;inf
210;5.333068606202616e-05;inf
215;5.068149825368169e-05;inf
220;4.1409432749693206e-05;0.04257449757311003
225;4.2807421479298937e-05;0.04289607567403295
230;3.108550913959416e-05;0.020560362241609457
235;3.416408308048638e-05;0.023915396694679045
240;4.242012594278665e-05;0.03536954148210236
245;3.916374015651579e-05;0.030823193349162364
250;3.269652294207083e-05;0.020033251874492095
255;2.281210724696176e-05;0.011918749551047497
260;3.674626048715219e-05;0.022846690485621286
265;3.0555080989064794e-05;0.016722526484670597
270;2.1217737260507564e-05;0.011259890876828391
275;3.104399635047013e-05;0.01663871432667093
280;2.6506032259674597e-05;0.013974708134468813
285;2.0998535644967896e-05;0.011468463274541714
290;2.1688818634110417e-05;0.011700566456738866
295;2.7473377694643186e-05;0.013889523202844707
300;2.353946803199868e-05;0.012131534894691787
