Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 256, 128, 64, 32, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.05355536997905401;inf
10;0.0013650142749252504;inf
15;0.001375004610326055;inf
20;0.0008509653646114686;inf
25;0.0008532257797358814;inf
30;0.0008488952755817577;inf
35;0.0008355112463414935;inf
40;0.0010785172505734944;inf
45;0.002140596926810623;inf
50;0.0006383040541425079;inf
55;0.0007628200867362045;inf
60;0.0014877710194532237;inf
65;0.0009050974335378164;inf
70;0.0006773045961838061;inf
75;0.0011684535613076133;inf
80;0.0006897220182243139;inf
85;0.0005755066083807014;inf
90;0.0011779196547100216;inf
95;0.0006026590954379292;inf
100;0.0005743704561115041;inf
105;0.000799568857722321;inf
110;0.000632713465056403;inf
115;0.0005261427246994802;inf
120;0.0004892958771239533;inf
125;0.0005363831528644963;inf
130;0.000660089117717086;inf
135;0.0004408457011322959;inf
140;0.0007746662027423286;inf
145;0.0004180541304376465;inf
150;0.0004953897208024026;inf
155;0.0007378991649812282;inf
160;0.0008392734940499901;inf
165;0.0007763382195812863;inf
170;0.0003554575899081444;inf
175;0.0005859614054071937;inf
180;0.0006395832576451075;inf
185;0.0006745710555617717;inf
190;0.0003027242441814428;inf
195;0.0006001710273220803;inf
200;0.0003727970844369256;inf
205;0.00030557004302777147;inf
210;0.00030000583973103346;inf
215;0.0002924214766336232;inf
220;0.0005862431950321412;inf
225;0.0002474188538283578;inf
230;0.0002519072434223676;inf
235;0.0003448700683684525;inf
240;0.0005491946385365917;inf
245;0.00027796444141113427;inf
250;0.00042418356434359287;inf
255;0.00018309186898072573;inf
260;0.00028791909132973797;inf
265;0.00040888682900526446;inf
270;0.0004420881344416829;inf
275;0.00020976862368997156;inf
280;0.00026032780710676925;inf
285;0.0004783885052241381;inf
290;0.00021812293958934636;inf
295;0.00019742881244784347;inf
300;0.00044088765129075006;inf
